reference	record	lit.type	score	country	region1	habitat	habitat1	habitat2	start.year	end.year	study.type	species	assemblage	AE	basic.AE	higher.AE	reserve	designation	mowing	grazing	fertilizer	pesticide	nest.protect.ag	nest.protect.predation	groundwater.drainage	surface.water	predator.control	other.mgmt	mgmt.notes	overall.metric	specific.metric	metric.before	metric.after	stan.metric	stan.calc	stan.metric.before	stan.metric.after	stan.effect.size	sig	effect.dir	analysis.unit	sample.size	analysis1	analysis2	analysis3	log.effect.size	percent.change.effect.size	values.from.plot	fertpest	water	nest.protect	reserve.desig	AE.level	study.length	metric	success	failure	outcome
1	1	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	lapwing	Y	applied	applied	none	none	none	none	none	none	none	none	none	none	none	none	none		occupancy	presence/absence	0.076	0.119	occurrence/occupancy probability		0.076	0.119	0.57	Y	positive	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM	0.071997612	0.57		none	none	none	none	basic	9	occupancy	1	0	1
1	2	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	lapwing	Y	applied	none	applied	none	none	none	none	none	none	none	none	none	none	none	none		occupancy	presence/absence	0.076	0.123	occurrence/occupancy probability		0.076	0.123	0.62	Y	positive	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM	0.078438858	0.62		none	none	none	none	higher	9	occupancy	1	0	1
1	3	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	lapwing	Y	none	none	none	applied	none	none	none	none	none	none	none	none	none	none	none		occupancy	presence/absence	0.061	0.172	occurrence/occupancy probability		0.061	0.172	1.82	Y	positive	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM	0.180537435	1.82		none	none	none	applied	none	9	occupancy	1	0	1
1	4	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	lapwing	Y	none	none	none	none	applied	none	none	none	none	none	none	none	none	none	none		occupancy	presence/absence	NA	NA			NA	NA		N		field/plot/site	large	frequentist	multivariate	stepwise regression GLMM				none	none	none	applied	none	9	occupancy	0	0	0
1	5	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	lapwing	Y	applied	applied	none	applied	none	none	none	none	none	none	none	none	none	none	none		occupancy	presence/absence	0.061	0.209	occurrence/occupancy probability		0.061	0.209	2.43	Y	positive	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		2.43		none	none	none	applied	basic	9	occupancy	1	0	1
1	6	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	lapwing	Y	applied	none	applied	applied	none	none	none	none	none	none	none	none	none	none	none		occupancy	presence/absence	0.061	0.243	occurrence/occupancy probability		0.061	0.243	2.98	Y	positive	field/plot/site	large	frequentist	multivariate	stepwise regression GLMM		2.98		none	none	none	applied	higher	9	occupancy	1	0	1
1	7	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	lapwing	Y	applied	applied	none	none	applied	none	none	none	none	none	none	none	none	none	none		occupancy	presence/absence	NA	NA			NA	NA		N		field/plot/site	large	frequentist	multivariate	stepwise regression GLMM				none	none	none	applied	basic	9	occupancy	0	0	0
1	8	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	lapwing	Y	applied	none	applied	none	applied	none	none	none	none	none	none	none	none	none	none		occupancy	presence/absence	NA	NA			NA	NA		N		field/plot/site	large	frequentist	multivariate	stepwise regression GLMM				none	none	none	applied	higher	9	occupancy	0	0	0
1	9	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	lapwing	Y	applied	applied	none	applied	applied	none	none	none	none	none	none	none	none	none	none		occupancy	presence/absence	NA	NA			NA	NA		N		field/plot/site	large	frequentist	multivariate	stepwise regression GLMM				none	none	none	applied	basic	9	occupancy	0	0	0
1	10	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	lapwing	Y	applied	none	applied	applied	applied	none	none	none	none	none	none	none	none	none	none		occupancy	presence/absence	NA	NA			NA	NA		N		field/plot/site	large	frequentist	multivariate	stepwise regression GLMM				none	none	none	applied	higher	9	occupancy	0	0	0
1	11	primary	good	United Kingdom	England	pastoral	natural/semi-natural grassland	lowland wet grassland	2002	2010	correlative	lapwing	Y	none	none	none	applied	applied	none	none	none	none	none	none	none	none	none	none		occupancy	presence/absence	NA	NA			NA	NA		N		field/plot/site	large	frequentist	multivariate	stepwise regression GLMM				none	none	none	applied	none	9	occupancy	0	0	0
